Town SuperPetrol AutomotiveDiesel Kerosene RegularPetrol
Mombasa 107.92 104.28 87.70 104.92
Kilifi 108.11 104.48 87.90 105.12
Likoni Mainland 108.25 104.61 88.03 105.25
Kwale 108.26 104.62 88.04 105.26
Malindi 108.74 105.10 88.53 105.75
Voi 109.37 105.73 89.16 106.38
Taveta 110.78 107.14 90.57 107.79
Lamu 111.51 107.87 91.30 108.52
Nairobi 111.17 107.52 90.91 108.16
Thika 111.30 107.66 91.05 108.30
Machakos 111.30 107.66 91.05 108.30
Kajiado 111.57 107.92 91.31 108.56
Muranga 111.70 108.06 91.45 108.70
Embu 112.28 108.64 92.03 109.28
Narok 112.50 108.85 92.24 109.50
Nyeri 112.59 108.94 92.33 109.58
Kitui 112.75 109.10 92.49 109.75
Nanyuki 113.13 109.48 92.87 110.12
Meru 113.60 109.96 93.35 110.60
Isiolo 114.11 110.46 93.85 111.11
Garissa 115.32 111.67 95.06 112.31
Marsabit 117.43 113.79 97.17 114.43
Wajir 118.65 115.01 98.40 115.65
Mandera 123.69 120.04 103.43 120.68
Nakuru 112.25 108.60 91.99 109.25
Nyahururu 112.47 108.83 92.22 109.47
Naivasha 112.57 108.93 92.32 109.57
Kabarnet 113.40 109.76 93.15 110.40
Maralal 116.02 112.38 95.77 113.02
Eldoret 113.36 109.71 93.10 110.36
Kapsabet 113.38 109.74 93.12 110.38
Kitale 113.67 110.03 93.41 110.67
Kapenguria 114.04 110.39 93.78 111.03
Bungoma 114.06 110.42 93.80 111.06
Lokichogio 120.50 116.86 100.25 117.50
Kisumu 113.42 109.77 93.16 110.42
Kakamega 113.49 109.85 93.23 110.49
Siaya 113.74 110.10 93.49 110.74
Kericho 113.87 110.22 93.61 110.87
Nyamira 113.98 110.34 93.73 110.98
Kisii 114.28 110.64 94.03 111.28
Sotik 114.50 110.85 94.24 111.50
Busia 114.60 110.95 94.34 111.60
Homabay 114.94 111.29 94.68 111.94
Migori 115.15 111.51 94.90 112.15
