Town SuperPetrol AutomotiveDiesel Kerosene RegularPetrol
Mombasa 113.44 105.73 86.16 113.84
Kilifi 113.63 105.93 86.35 114.04
Likoni Mainland 113.77 106.06 86.49 114.17
Kwale 113.78 106.07 86.50 114.18
Malindi 114.26 106.55 86.98 114.67
Voi 114.89 107.18 87.61 115.30
Taveta 116.30 108.59 89.02 116.71
Lamu 117.03 109.32 89.75 117.44
Nairobi 117.22 108.97 88.96 116.71
Thika 117.36 109.11 89.10 116.85
Machakos 117.36 109.11 89.10 116.85
Kajiado 117.62 109.37 89.36 117.11
Muranga 117.76 109.51 89.50 117.25
Embu 118.34 110.09 90.08 117.83
Kerugoya 118.35 110.10 90.09 117.84
Narok 118.55 110.31 90.29 118.04
Nyeri 118.64 110.39 90.38 118.13
Kitui 118.80 110.56 90.54 118.29
Mwingi 118.83 110.58 90.57 118.32
Nanyuki 119.18 110.93 90.92 118.67
Mtito Andei 119.64 111.39 91.38 119.12
Meru 119.66 111.41 91.40 119.15
Isiolo 120.16 111.92 91.90 119.65
Maua 120.16 111.92 91.90 119.65
Garissa 121.37 113.12 93.11 120.86
Marsabit 123.49 115.24 95.23 122.98
Wajir 124.71 116.46 96.45 124.20
Mandera 129.74 121.49 101.48 129.23
Nakuru 117.99 109.77 89.71 117.18
Nyahururu 118.21 109.99 89.93 117.40
Naivasha 118.31 110.09 90.03 117.50
Kabarnet 119.14 110.92 90.86 118.33
Maralal 121.76 113.54 93.48 120.95
Eldoret 119.30 110.88 90.73 118.20
Kapsabet 119.33 110.90 90.76 118.23
Kitale 119.62 111.19 91.05 118.52
Kapenguria 119.98 111.56 91.41 118.88
Bungoma 120.01 111.58 91.44 118.91
Malaba 120.42 112.00 91.85 119.32
Lokichogio 126.45 118.03 97.88 125.35
Kisumu 119.36 110.94 90.73 118.20
Kakamega 119.43 111.01 90.80 118.27
Siaya 119.69 111.26 91.05 118.52
Kericho 119.81 111.39 91.18 118.65
Nyamira 119.93 111.50 91.29 118.76
Kisii 120.23 111.80 91.59 119.06
Sotik 120.44 112.02 91.81 119.28
Busia 120.54 112.12 91.91 119.38
Homabay 120.88 112.46 92.25 119.72
Migori 123.25 116.45 93.46 122.08
