Town SuperPetrol AutomotiveDiesel Kerosene RegularPetrol
Mombasa 91.08 84.51 72.88 91.44
Malindi 91.85 85.28 73.65 92.21
Nairobi 94.03 87.45 75.83 94.39
Meru 96.28 89.70 78.08 96.64
Nyeri 95.35 88.76 77.14 95.70
Embu 95.07 88.49 76.86 95.42
Machakos 94.25 87.67 76.05 94.61
Marsabit 99.81 93.23 81.61 100.17
Nakuru 95.10 88.52 76.89 95.45
Naivasha 95.40 88.82 77.19 95.76
Nyahururu 95.31 88.72 77.10 95.66
Eldoret 96.19 89.61 77.98 96.55
Bungoma 96.84 90.26 78.63 97.20
Kitale 96.48 89.90 78.27 96.84
Kisumu 96.25 89.66 78.04 96.60
Kisii 97.05 90.46 78.84 97.40
Kakamega 96.32 89.73 78.11 96.67
Kericho 96.66 90.08 78.45 97.02
