Town SuperPetrol AutomotiveDiesel Kerosene RegularPetrol
Mombasa 94.93 88.59 76.42 94.97
Kilifi 95.12 88.77 76.61 95.15
Likoni Mainland 95.26 88.92 76.75 95.30
Kwale 95.27 88.93 76.76 95.31
Malindi 95.70 89.35 77.19 95.73
Voi 96.28 89.93 77.77 96.31
Taveta 97.57 91.23 79.07 97.61
Lamu 98.25 91.90 79.74 98.28
Nairobi 98.08 91.72 79.52 98.11
Thika 98.21 91.85 79.65 98.24
Machakos 98.21 91.85 79.65 98.24
Kajiado 98.45 92.09 79.90 98.49
Muranga 98.58 92.22 80.02 98.61
Embu 99.11 92.75 80.56 99.15
Narok 99.31 92.95 80.75 99.34
Nyeri 99.39 93.03 80.83 99.42
Kitui 99.54 93.18 80.99 99.58
Nanyuki 99.89 93.53 81.33 99.92
Meru 100.33 93.97 81.77 100.36
Isiolo 100.79 94.43 82.24 100.83
Garissa 101.91 95.55 83.35 101.94
Marsabit 103.85 97.50 85.30 103.89
Wajir 104.98 98.62 86.43 105.02
Mandera 109.62 103.26 91.07 109.66
Nakuru 99.14 92.78 80.58 99.17
Nyahururu 99.35 92.99 80.79 99.38
Naivasha 99.44 93.08 80.88 99.47
Kabarnet 100.20 93.85 81.65 100.24
Maralal 102.62 96.26 84.06 102.65
Eldoret 100.22 93.87 81.67 100.26
Kapsabet 100.25 93.89 81.69 100.28
Kitale 100.51 94.16 81.96 100.55
Kapenguria 100.85 94.49 82.30 100.89
Bungoma 100.87 94.52 82.32 100.91
Lokichogio 106.81 100.45 88.26 106.85
Kisumu 100.28 93.92 81.73 100.32
Kakamega 100.35 93.99 81.79 100.38
Siaya 100.58 94.22 82.03 100.62
Kericho 100.70 94.34 82.14 100.73
Nyamira 100.80 94.44 82.25 100.84
Kisii 101.08 94.72 82.53 101.12
Sotik 101.28 94.92 82.72 101.31
Busia 101.37 95.01 82.82 101.41
Homabay 101.68 95.32 83.13 101.72
Migori 101.88 95.52 83.33 101.92
