Town SuperPetrol AutomotiveDiesel Kerosene RegularPetrol
Mombasa 112.12 102.88 83.37 112.43
Kilifi 112.32 103.07 83.56 112.63
Likoni Mainland 112.45 103.21 83.70 112.76
Kwale 112.46 103.21 83.71 112.77
Malindi 112.95 103.70 84.19 113.26
Voi 113.58 104.33 84.82 113.89
Taveta 114.99 105.74 86.23 115.30
Lamu 115.72 106.47 86.96 116.03
Nairobi 115.39 106.12 86.16 115.29
Thika 115.52 106.25 86.30 115.43
Machakos 115.52 106.25 86.30 115.43
Kajiado 115.79 106.52 86.56 115.69
Muranga 115.92 106.65 86.70 115.83
Embu 116.50 107.23 87.28 116.41
Narok 116.72 107.45 87.50 116.62
Nyeri 116.80 107.53 87.58 116.71
Kitui 116.97 107.70 87.75 116.88
Nanyuki 117.35 108.08 88.13 117.25
Mtito Andei 117.80 108.53 88.58 117.71
Meru 117.82 108.55 88.60 117.73
Isiolo 118.33 109.06 89.11 118.24
Garissa 119.54 110.27 90.32 119.44
Marsabit 121.65 112.38 92.43 121.56
Wajir 122.87 113.60 93.65 122.78
Mandera 127.91 118.64 98.68 127.81
Nakuru 116.47 107.20 87.15 116.27
Nyahururu 116.69 107.42 87.37 116.50
Naivasha 116.79 107.52 87.47 116.60
Kabarnet 117.62 108.35 88.30 117.43
Maralal 120.24 110.97 90.92 120.05
Eldoret 117.58 108.31 88.17 117.30
Kapsabet 117.60 108.33 88.19 117.32
Kitale 117.89 108.62 88.48 117.61
Kapenguria 118.25 108.98 88.85 117.98
Bungoma 118.28 109.01 88.87 118.00
Lokichogio 124.72 115.45 95.32 124.45
Kisumu 117.64 108.37 88.17 117.29
Kakamega 117.71 108.44 88.24 117.37
Siaya 117.96 108.69 88.49 117.62
Kericho 118.09 108.82 88.62 117.74
Nyamira 118.20 108.93 88.73 117.86
Kisii 118.50 109.23 89.03 118.16
Sotik 118.72 109.45 89.25 118.37
Busia 118.82 109.55 89.35 118.47
Homabay 119.16 109.89 89.69 118.81
Migori 121.52 113.88 90.90 121.18
