Town SuperPetrol AutomotiveDiesel Kerosene RegularPetrol
Mombasa 112.07 103.06 82.91 109.31
Kilifi 112.26 103.26 83.11 109.51
Likoni Mainland 112.40 103.39 83.24 109.64
Kwale 112.41 103.40 83.25 109.65
Malindi 112.89 103.89 83.74 110.14
Voi 113.52 104.52 84.37 110.76
Taveta 114.93 105.93 85.78 112.17
Lamu 115.66 106.66 86.51 112.90
Nairobi 114.93 106.30 85.71 112.17
Thika 115.07 106.43 85.85 112.30
Machakos 115.07 106.43 85.85 112.30
Kajiado 115.33 106.70 86.11 112.57
Muranga 115.47 106.84 86.25 112.71
Embu 116.05 107.42 86.83 113.29
Narok 116.26 107.63 87.04 113.50
Nyeri 116.35 107.72 87.13 113.59
Kitui 116.52 107.88 87.29 113.75
Nanyuki 116.89 108.26 87.67 114.13
Mtito Andei 117.35 108.71 88.12 114.58
Meru 117.37 108.74 88.15 114.61
Isiolo 117.87 109.24 88.65 115.11
Garissa 119.08 110.45 89.86 116.32
Marsabit 121.20 112.56 91.97 118.43
Wajir 122.42 113.78 93.20 119.65
Mandera 127.45 118.82 98.23 124.69
Nakuru 115.91 107.38 86.69 113.15
Nyahururu 116.14 107.61 86.91 113.37
Naivasha 116.24 107.71 87.01 113.47
Kabarnet 117.07 108.54 87.85 114.30
Maralal 119.69 111.15 90.46 116.92
Eldoret 116.94 108.49 87.72 114.17
Kapsabet 116.96 108.51 87.74 114.20
Kitale 117.25 108.80 88.03 114.49
Kapenguria 117.62 109.17 88.39 114.85
Bungoma 117.64 109.19 88.42 114.88
Lokichogio 124.09 115.64 94.86 121.32
Kisumu 116.93 108.55 87.71 114.17
Kakamega 117.01 108.62 87.78 114.24
Siaya 117.26 108.88 88.04 114.49
Kericho 117.38 109.00 88.16 114.62
Nyamira 117.50 109.11 88.27 114.73
Kisii 117.80 109.42 88.58 115.03
Sotik 118.01 109.63 88.79 115.25
Busia 118.11 109.73 88.89 115.35
Homabay 118.45 110.07 89.23 115.69
Migori 122.60 113.29 90.44 119.84
