Town SuperPetrol AutomotiveDiesel Kerosene RegularPetrol
Mombasa 99.28 91.39 80.86 97.74
Kilifi 99.46 91.57 81.04 97.93
Likoni Mainland 99.61 91.72 81.19 98.07
Kwale 99.62 91.73 81.20 98.08
Malindi 100.04 92.15 81.62 98.51
Voi 100.62 92.73 82.20 99.09
Taveta 101.92 94.03 83.50 100.39
Lamu 102.60 94.70 84.17 101.06
Nairobi 102.44 94.53 83.97 100.90
Thika 102.56 94.65 84.10 101.03
Machakos 102.56 94.65 84.10 101.03
Kajiado 102.81 94.90 84.34 101.27
Muranga 102.93 95.03 84.47 101.40
Embu 103.47 95.56 85.00 101.93
Narok 103.67 95.76 85.20 102.13
Nyeri 103.75 95.84 85.28 102.21
Kitui 103.90 95.99 85.43 102.36
Nanyuki 104.25 96.34 85.78 102.71
Meru 104.69 96.78 86.22 103.15
Isiolo 105.15 97.24 86.68 103.61
Garissa 106.26 98.35 87.80 104.73
Marsabit 108.21 100.30 89.75 106.67
Wajir 109.34 101.43 90.87 107.80
Mandera 113.98 106.07 95.51 112.44
Nakuru 103.50 95.59 85.03 101.96
Nyahururu 103.70 95.79 85.24 102.17
Naivasha 103.80 95.89 85.33 102.26
Kabarnet 104.56 96.65 86.10 103.02
Maralal 106.98 99.07 88.51 105.44
Eldoret 104.58 96.67 86.12 103.04
Kapsabet 104.61 96.70 86.14 103.07
Kitale 104.87 96.96 86.41 103.33
Kapenguria 105.21 97.30 86.74 103.67
Bungoma 105.23 97.32 86.77 103.69
Lokichogio 111.17 103.26 92.70 109.63
Kisumu 104.64 96.73 86.17 103.10
Kakamega 104.71 96.80 86.24 103.17
Siaya 104.94 97.03 86.47 103.40
Kericho 105.05 97.15 86.59 103.52
Nyamira 105.16 97.25 86.69 103.62
Kisii 105.44 97.53 86.97 103.90
Sotik 105.63 97.73 87.17 104.10
Busia 105.73 97.82 87.26 104.19
Homabay 106.04 98.13 87.57 104.50
Migori 106.24 98.33 87.77 104.70
