Town SuperPetrol AutomotiveDiesel Kerosene RegularPetrol
Mombasa 107.92 102.20 85.53 104.92
Kilifi 108.11 102.40 85.73 105.12
Likoni Mainland 108.25 102.53 85.86 105.25
Kwale 108.26 102.54 85.87 105.26
Malindi 108.74 103.03 86.36 105.75
Voi 109.37 103.66 86.99 106.38
Taveta 110.78 105.07 88.40 107.79
Lamu 111.51 105.80 89.13 108.52
Nairobi 111.17 105.44 88.73 108.16
Thika 111.30 105.58 88.87 108.30
Machakos 111.30 105.58 88.87 108.30
Kajiado 111.57 105.84 89.13 108.56
Muranga 111.70 105.98 89.27 108.70
Embu 112.28 106.56 89.85 109.28
Narok 112.50 106.77 90.06 109.50
Nyeri 112.59 106.86 90.15 109.58
Kitui 112.75 107.03 90.31 109.75
Nanyuki 113.13 107.40 90.69 110.12
Meru 113.60 107.88 91.17 110.60
Isiolo 114.11 108.39 91.67 111.11
Garissa 115.32 109.59 92.88 112.31
Marsabit 117.43 111.71 95.00 114.43
Wajir 118.65 112.93 96.22 115.65
Mandera 123.69 117.96 101.25 120.68
Nakuru 112.25 106.53 89.81 109.25
Nyahururu 112.47 106.75 90.04 109.47
Naivasha 112.57 106.85 90.14 109.57
Kabarnet 113.40 107.68 90.97 110.40
Maralal 116.02 110.30 93.59 113.02
Eldoret 113.36 107.64 90.92 110.36
Kapsabet 113.38 107.66 90.95 110.38
Kitale 113.67 107.95 91.24 110.67
Kapenguria 114.04 108.31 91.60 111.03
Bungoma 114.06 108.34 91.63 111.06
Lokichogio 120.50 114.78 98.07 117.50
Kisumu 113.42 107.70 90.98 110.42
Kakamega 113.49 107.77 91.06 110.49
Siaya 113.74 108.02 91.31 110.74
Kericho 113.87 108.15 91.43 110.87
Nyamira 113.98 108.26 91.55 110.98
Kisii 114.28 108.56 91.85 111.28
Sotik 114.50 108.78 92.06 111.50
Busia 114.60 108.88 92.16 111.60
Homabay 114.94 109.22 92.50 111.94
Migori 115.15 109.43 92.72 112.15
