Town SuperPetrol AutomotiveDiesel Kerosene RegularPetrol
Mombasa 115.01 104.93 85.49 113.82
Kilifi 115.21 105.13 85.69 114.02
Likoni Mainland 115.34 105.26 85.82 114.15
Kwale 115.35 105.27 85.83 114.16
Malindi 115.84 105.76 86.32 114.65
Voi 116.47 106.38 86.95 115.27
Taveta 117.88 107.79 88.36 116.68
Lamu 118.61 108.52 89.09 117.41
Nairobi 117.75 108.17 88.29 116.68
Thika 117.89 108.31 88.43 116.82
Machakos 117.89 108.31 88.43 116.82
Kajiado 118.15 108.57 88.69 117.08
Muranga 118.29 108.71 88.83 117.22
Embu 118.87 109.29 89.41 117.80
Kerugoya 118.88 109.30 89.42 117.81
Narok 119.09 109.50 89.63 118.02
Nyeri 119.17 109.59 89.71 118.10
Kitui 119.34 109.76 89.88 118.27
Mwingi 119.36 109.78 89.90 118.29
Nanyuki 119.71 110.13 90.26 118.65
Mtito Andei 120.17 110.59 90.71 119.10
Meru 120.19 110.61 90.73 119.12
Isiolo 120.70 111.12 91.24 119.63
Maua 120.70 111.12 91.24 119.63
Garissa 121.90 112.32 92.44 120.84
Marsabit 124.02 114.44 94.56 122.95
Wajir 125.24 115.66 95.78 124.17
Mandera 130.27 120.69 100.81 129.20
Nakuru 118.12 108.97 89.04 117.15
Nyahururu 118.34 109.19 89.27 117.37
Naivasha 118.45 109.29 89.37 117.48
Kabarnet 119.28 110.13 90.20 118.31
Maralal 121.89 112.74 92.81 120.92
Eldoret 119.03 110.08 90.07 118.18
Kapsabet 119.05 110.10 90.09 118.20
Kitale 119.34 110.39 90.38 118.49
Kapenguria 119.70 110.76 90.74 118.85
Bungoma 119.73 110.78 90.77 118.88
Malaba 120.14 111.20 91.19 119.29
Lokichogio 126.17 117.23 97.21 125.32
Kisumu 119.09 110.14 90.06 118.17
Kakamega 119.16 110.21 90.14 118.24
Siaya 119.41 110.46 90.39 118.50
Kericho 119.54 110.59 90.51 118.62
Nyamira 119.65 110.70 90.63 118.74
Kisii 119.95 111.01 90.93 119.04
Sotik 120.17 111.22 91.14 119.25
Busia 120.27 111.32 91.24 119.35
Homabay 120.61 111.66 91.58 119.69
Migori 122.97 115.65 92.80 122.06
